接口层级,设备,位号,数量,单个接口脚数,建议连接器,说明
内部上插,逐飞板P4,J_ZF_P4,1,16,2.54mm通孔双排母座2x8,底面安装只连接逐飞板
内部上插,逐飞板P5,J_ZF_P5,1,16,2.54mm通孔双排母座2x8,底面安装只连接逐飞板
内部上插,逐飞板P6,J_ZF_P6,1,40,2.54mm通孔双排母座2x20,底面安装只连接逐飞板
内部上插,逐飞板P7,J_ZF_P7,1,20,2.54mm通孔双排母座2x10,底面安装只连接逐飞板
内部上插,逐飞板P8,J_ZF_P8,1,16,2.54mm通孔双排母座2x8,底面安装只连接逐飞板
内部上插,逐飞板P9,J_ZF_P9,1,6,2.54mm通孔双排母座2x3,底面安装只连接逐飞板
内部上插,逐飞板P10,J_ZF_P10,1,8,2.54mm通孔双排母座2x4,底面安装只连接逐飞板
设备端子,ILI9488屏幕含FT6336触摸,J_DISPLAY,1,14,2.54mm单排母座1x14,整块屏幕只有这一个接口
设备端子,ATK-MC5640摄像头,J_CAMERA,1,18,2.54mm双排母座2x9,整块摄像头只有这一个接口
设备端子,舵机1,J_SERVO1,1,3,XH2.54-3P,GND/独立电源/PWM
设备端子,舵机2,J_SERVO2,1,3,XH2.54-3P,GND/独立电源/PWM
设备端子,舵机3,J_SERVO3,1,3,XH2.54-3P,GND/独立电源/PWM
设备端子,舵机4备用,J_SERVO4,1,3,XH2.54-3P,GND/独立电源/PWM
设备端子,舵机5备用,J_SERVO5,1,3,XH2.54-3P,GND/独立电源/PWM
设备端子,舵机6备用,J_SERVO6,1,3,XH2.54-3P,GND/独立电源/PWM
设备端子,电机驱动1,J_MOTOR1,1,8,XH2.54-8P,一台驱动器一个接口
设备端子,电机驱动2,J_MOTOR2,1,8,XH2.54-8P,一台驱动器一个接口
设备端子,电机驱动3,J_MOTOR3,1,8,XH2.54-8P,一台驱动器一个接口
设备端子,电机驱动4,J_MOTOR4,1,8,XH2.54-8P,一台驱动器一个接口
设备端子,升降电机驱动,J_LIFT,1,8,XH2.54-8P,一台驱动器一个接口
设备端子,急停按钮,J_ESTOP,1,4,XH2.54-4P,急停一套一个接口
设备端子,升降上限位,J_LIMIT_UP,1,2,XH2.54-2P,一个限位一个接口
设备端子,升降原点限位,J_LIMIT_HOME,1,2,XH2.54-2P,一个限位一个接口
设备端子,称重模块,J_WEIGHT,1,4,XH2.54-4P,一个称重模块一个接口
冗余端子,备用SCI6串口设备,J_SPARE_UART6,1,4,XH2.54-4P,一个备用串口设备一个接口
冗余端子,备用I2C2设备,J_SPARE_I2C2,1,4,XH2.54-4P,一个备用I2C设备一个接口
冗余端子,备用GPIO设备1,J_SPARE_GPIO1,1,3,XH2.54-3P,一个备用设备一个接口
冗余端子,备用GPIO设备2,J_SPARE_GPIO2,1,3,XH2.54-3P,一个备用设备一个接口
冗余端子,备用GPIO设备3,J_SPARE_GPIO3,1,3,XH2.54-3P,一个备用设备一个接口
冗余端子,备用模拟设备,J_SPARE_ADC,1,3,XH2.54-3P,一个备用设备一个接口
电源入口,12V动力电源,J_PWR12,1,2,KF301-2P,这是电源入口不是设备端子
电源入口,5V逻辑电源,J_PWR_LOGIC,1,2,KF301-2P,这是电源入口不是设备端子
电源入口,舵机5V和8.4V电源,J_PWR_SERVO,1,3,KF301-3P,这是电源入口不是舵机端子
