类别,连接器,脚位,网络,RA8P1/来源,默认状态,说明
电源,J_PWR12,1,GND,外部电源,,12V地
电源,J_PWR12,2,12V_IN,外部电源,,12V正
电源,J_PWR_LOGIC,1,GND,外部电源,,逻辑5V地
电源,J_PWR_LOGIC,2,5V_LOGIC_IN,外部电源,,AHCT和称重逻辑电源
电源,J_PWR_SERVO,1,8V4_SERVO_IN,外部电源,,8.4V舵机电源
电源,J_PWR_SERVO,2,GND,外部电源,,舵机地
电源,J_PWR_SERVO,3,5V_SERVO_IN,外部电源,,5V舵机电源
显示屏,J_DISPLAY,1,TOUCH_INT_OPT,P513经0欧DNP,悬空,同一屏幕模块内FT6336触摸INT
显示屏,J_DISPLAY,2,NC,不连接,悬空,对应屏幕NC
显示屏,J_DISPLAY,3,TOUCH_SDA,P511/IIC1,高,同一屏幕模块内FT6336 SDA
显示屏,J_DISPLAY,4,TOUCH_RST,P105,高,同一屏幕模块内FT6336复位
显示屏,J_DISPLAY,5,TOUCH_SCL,P512/IIC1,高,同一屏幕模块内FT6336 SCL
显示屏,J_DISPLAY,6,NC_LCD_MISO,不连接,悬空,SPI1当前仅发送
显示屏,J_DISPLAY,7,LCD_LED,JP_LCD_LED,3.3V,默认常亮可切P415控制
显示屏,J_DISPLAY,8,LCD_SCK,P102/SPI1 RSPCK1,,屏幕SPI时钟
显示屏,J_DISPLAY,9,LCD_MOSI,P708/SPI1 MOSI1,,屏幕SPI数据
显示屏,J_DISPLAY,10,LCD_DC,P410,低,数据命令选择
显示屏,J_DISPLAY,11,LCD_RESET_N,P409,低,ILI9488低有效复位
显示屏,J_DISPLAY,12,LCD_CS_N,P404,低,ILI9488低有效片选
显示屏,J_DISPLAY,13,GND,P10,,整块屏幕模块地
显示屏,J_DISPLAY,14,3V3_RA,P9,,整块屏幕模块3.3V
摄像头,J_CAMERA,1,GND,P10,,ATK-MC5640原厂2x9脚位
摄像头,J_CAMERA,2,3V3_RA,P9,,摄像头3.3V
摄像头,J_CAMERA,3,CAM_SCL,P602,高,SCCB时钟4.7k上拉
摄像头,J_CAMERA,4,CAM_VSYNC,PB02/CEU VIO_VD,,帧同步输入
摄像头,J_CAMERA,5,CAM_SDA,P603,高,SCCB数据4.7k上拉
摄像头,J_CAMERA,6,CAM_HREF,PB03/CEU VIO_HD,,行有效输入
摄像头,J_CAMERA,7,CAM_D0,P400/CEU VIO_D0,,串联22至33欧
摄像头,J_CAMERA,8,CAM_RESET_N,P000,低,低有效10k下拉
摄像头,J_CAMERA,9,CAM_D2,P405/CEU VIO_D2,,串联22至33欧
摄像头,J_CAMERA,10,CAM_D1,P401/CEU VIO_D1,,串联22至33欧
摄像头,J_CAMERA,11,CAM_D4,P700/CEU VIO_D4,,串联22至33欧
摄像头,J_CAMERA,12,CAM_D3,P406/CEU VIO_D3,,串联22至33欧
摄像头,J_CAMERA,13,CAM_D6,P702/CEU VIO_D6,,串联22至33欧
摄像头,J_CAMERA,14,CAM_D5,P701/CEU VIO_D5,,串联22至33欧
摄像头,J_CAMERA,15,CAM_PCLK,P414/CEU VIO_CLK,,像素时钟串联22至33欧
摄像头,J_CAMERA,16,CAM_D7,P703/CEU VIO_D7,,串联22至33欧
摄像头,J_CAMERA,17,CAM_PWDN,P001,高,高有效10k上拉
摄像头,J_CAMERA,18,NC_CAM_FLASH,不连接,悬空,V1.2原理图为NC
电机,J_MOTOR1,1,MOTOR1_EN_N_5V_OPTION,P911经AHCT244和0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR1,2,MOTOR1_ALM_OC_RESERVED,预留,悬空,只允许开集电极
电机,J_MOTOR1,3,MOTOR1_DIR_5V,P600经AHCT244,低,兼容旧板
电机,J_MOTOR1,4,MOTOR1_STEP_5V,P304经AHCT244,低,兼容旧板
电机,J_MOTOR1,5,GND,GND,,兼容旧板
电机,J_MOTOR1,6,5V_LOGIC_OPTION,5V_LOGIC经0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR1,7,GND,GND,,兼容旧板
电机,J_MOTOR1,8,12V_MOTOR,12V输入,,兼容旧板
电机,J_MOTOR2,1,MOTOR2_EN_N_5V_OPTION,P911经AHCT244和0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR2,2,MOTOR2_ALM_OC_RESERVED,预留,悬空,只允许开集电极
电机,J_MOTOR2,3,MOTOR2_DIR_5V,P106经AHCT244,低,兼容旧板
电机,J_MOTOR2,4,MOTOR2_STEP_5V,P501默认/P304共用备选,低,0欧二选一
电机,J_MOTOR2,5,GND,GND,,兼容旧板
电机,J_MOTOR2,6,5V_LOGIC_OPTION,5V_LOGIC经0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR2,7,GND,GND,,兼容旧板
电机,J_MOTOR2,8,12V_MOTOR,12V输入,,兼容旧板
电机,J_MOTOR3,1,MOTOR3_EN_N_5V_OPTION,P911经AHCT244和0R/DNP,悬空,旧线束原空脚，确认驱动器后焊
电机,J_MOTOR3,2,MOTOR3_ALM_OC_RESERVED,预留,悬空,只允许开集电极
电机,J_MOTOR3,3,MOTOR3_DIR_5V,PB07经AHCT244,低,兼容旧板
