对象,X_mm,Y_mm,封装/尺寸,角度_deg,用途
BOARD_ORIGIN,0.000,0.000,逐飞板左上外框,0,全部排针坐标基准
BOARD_SIZE,100.000,60.000,圆角矩形约R4.5,0,逐飞板叠合区域外框
NEW_BOARD_ORIGIN_GUIDE,-30.000,-25.000,二级板左上建议坐标,0,使160x110外框相对逐飞板居中
NEW_BOARD_SIZE_GUIDE,160.000,110.000,二级板初版外框建议尺寸,0,按机箱和端子布局可再调整
M2_TOP_LEFT,4.000,4.000,M3安装孔,0,左上
M1_TOP_RIGHT,96.000,4.000,M3安装孔,0,右上
M4_BOTTOM_LEFT,4.000,56.000,M3安装孔,0,左下
M3_BOTTOM_RIGHT,96.000,56.000,M3安装孔,0,右下
J_ZF_P7,20.815,5.924,底面通孔母座2x10_2.54mm,180,与逐飞P7公针1脚对1脚
J_ZF_P4,46.215,5.924,底面通孔母座2x8_2.54mm,180,与逐飞P4公针1脚对1脚
J_ZF_P5,69.075,5.924,底面通孔母座2x8_2.54mm,180,与逐飞P5公针1脚对1脚
J_ZF_P10,86.855,5.924,底面通孔母座2x4_2.54mm,180,与逐飞P10公针1脚对1脚
J_ZF_P8,18.275,54.184,底面通孔母座2x8_2.54mm,0,与逐飞P8公针1脚对1脚
J_ZF_P6,56.375,54.184,底面通孔母座2x20_2.54mm,180,与逐飞P6公针1脚对1脚
J_ZF_P9,88.125,54.184,底面通孔母座2x3_2.54mm,180,与逐飞P9公针1脚对1脚
INNER_M7,3.048,15.548,原板内部孔,0,新板元件避让参考
INNER_M8,70.902,15.548,原板内部孔,0,新板元件避让参考
INNER_M5,3.048,44.452,原板内部孔,0,新板元件避让参考
INNER_M6,70.902,44.452,原板内部孔,0,新板元件避让参考
