逐飞连接器,逐飞脚位,RA8P1网络,本板网络,本板用途,处理
P4,1,P402,NC,未使用,不走线
P4,2,P704,NC,未使用,不走线
P4,3,P514,SPARE_I2C2_SDA,备用I2C2数据,走线
P4,4,P515,SPARE_I2C2_SCL,备用I2C2时钟,走线
P4,5,P500,SERVO6_PWM_3V3,备用舵机6,走线
P4,6,P810,MOTOR4_STEP_3V3,电机4独立STEP,默认经0欧接入
P4,7,P501,MOTOR2_STEP_3V3,电机2独立STEP,默认经0欧接入
P4,8,P811,SERVO4_PWM_3V3,备用舵机4,走线
P4,9,P502,MOTOR3_STEP_3V3,电机3独立STEP,默认经0欧接入
P4,10,P812,SERVO5_PWM_3V3,备用舵机5,走线
P4,11,P206,NC,未使用,不走线
P4,12,P902,NC,未使用,不走线
P4,13,P306,NC,未使用,不走线
P4,14,P910,LIMIT_UP_3V3,升降上限位,走线
P4,15,P309,NC,未使用,不走线
P4,16,P913,LIMIT_HOME_3V3,升降原点限位,走线
P5,1,AVCC0,NC,模拟电源参考未使用,不走线
P5,2,AVSS0,NC,模拟地参考未使用,不走线
P5,3,P000,CAM_RESET_N,摄像头低有效复位,走线
P5,4,P006,NC,未使用,不走线
P5,5,P001,CAM_PWDN,摄像头高有效掉电,走线
P5,6,P007,NC,未使用,不走线
P5,7,P002,NC,未使用,不走线
P5,8,P008,NC,未使用,不走线
P5,9,P003,NC,未使用,不走线
P5,10,P009,NC,未使用,不走线
P5,11,P004,NC,未使用,不走线
P5,12,P010,NC,未使用,不走线
P5,13,P005,NC,未使用,不走线
P5,14,P011,NC,未使用,不走线
P5,15,P014,NC,未使用,不走线
P5,16,P015,NC,未使用,不走线
P6,1,3V3,3V3_RA,RA逻辑电源,与P6-2和P9并联
P6,2,3V3,3V3_RA,RA逻辑电源,与P6-1和P9并联
P6,3,P601,NC,未使用,不走线
P6,4,P715,WEIGHT_RX_3V3,SCI4接收,走线
P6,5,P602,CAM_SCL,摄像头SCCB时钟,走线
P6,6,P714,WEIGHT_TX_3V3,SCI4发送,走线
P6,7,P603,CAM_SDA,摄像头SCCB数据,走线
P6,8,P713,NC,未使用,不走线
P6,9,P604,NC,未使用,不走线
P6,10,PB04,NC,未使用,不走线
P6,11,P605,NC,未使用,不走线
P6,12,PB02,CAM_VSYNC,摄像头帧同步,走线
P6,13,PB00,NC,未使用,不走线
P6,14,PB03,CAM_HREF,摄像头行同步,走线
P6,15,P706,NC,未使用,不走线
P6,16,PB06,NC,未使用,不走线
P6,17,P707,NC,未使用,不走线
P6,18,PB05,NC,未使用,不走线
P6,19,PB01,NC,未使用,不走线
P6,20,P907,NC,未使用,不走线
P6,21,P705,NC,未使用,不走线
P6,22,P909,SPARE_UART6_RX,备用SCI6接收,走线
P6,23,P802,SPARE_GPIO2,备用GPIO2,走线
P6,24,P908,SPARE_UART6_TX,备用SCI6发送,走线
P6,25,P801,SPARE_GPIO1,备用GPIO1,走线
P6,26,P307,NC,未使用,不走线
P6,27,P804,SPARE_GPIO3,备用GPIO3,走线
P6,28,P906,NC,未使用,不走线
P6,29,P800,NC,未使用,不走线
P6,30,P513,TOUCH_INT_OPT,触摸中断可选,走线到默认DNP的0欧电阻
P6,31,P311,NC,未使用,不走线
P6,32,P806,NC,未使用,不走线
P6,33,P905,NC,未使用,不走线
P6,34,P805,SPARE_ADC_AN017,备用模拟输入,走线
P6,35,P310,NC,未使用,不走线
P6,36,P511,TOUCH_SDA,FT6336 IIC1数据,走线
P6,37,P312,NC,未使用,不走线
P6,38,P512,TOUCH_SCL,FT6336 IIC1时钟,走线
P6,39,P308,NC,未使用,不走线
P6,40,NC,NC,逐飞板未连接,不走线
P7,1,P105,TOUCH_RST,FT6336低有效复位,走线
P7,2,P914,SERVO2_PWM_3V3,右侧360度舵机,走线
P7,3,P104,NC,未使用,不走线
P7,4,P600,MOTOR1_DIR_3V3,电机1方向,走线
P7,5,PD06,NC,未使用,不走线
P7,6,P304,MOTOR1_STEP_3V3,电机1独立STEP并作为共用调试备选,走线
P7,7,P102,LCD_SCK,ILI9488 SPI1时钟,走线
P7,8,P106,MOTOR2_DIR_3V3,电机2方向,走线
P7,9,P712,LIFT_STEP_3V3,升降STEP,走线
P7,10,PB07,MOTOR3_DIR_3V3,电机3方向,走线
P7,11,P403,ESTOP_SENSE_3V3,急停软件反馈,走线
P7,12,P711,MOTOR4_DIR_3V3,电机4方向,走线
P7,13,P912,NC_RESERVED,备用GPIO,不走线
P7,14,P903,LIFT_DIR_3V3,升降方向,走线
P7,15,P404,LCD_CS_N,ILI9488低有效片选,走线
P7,16,P904,LIFT_EN_N_3V3,升降低有效使能,走线
P7,17,P911,DRIVE_EN_N_3V3,四路电机低有效使能,走线
P7,18,P807,SERVO3_PWM_3V3,270度转盘舵机,走线
P7,19,P915,SERVO1_PWM_3V3,左侧360度舵机,走线
P7,20,PA07,NC,未使用,不走线
P8,1,P410,LCD_DC,ILI9488数据命令选择,走线
P8,2,P708,LCD_MOSI,ILI9488 SPI1数据,走线
P8,3,P409,LCD_RESET_N,ILI9488低有效复位,走线
P8,4,P415,LCD_LED_CTRL,ILI9488背光可选控制,走线到跳帽
P8,5,P400,CAM_D0,摄像头CEU数据0,经22至33欧
P8,6,P709,NC,未使用,不走线
P8,7,P405,CAM_D2,摄像头CEU数据2,经22至33欧
P8,8,P401,CAM_D1,摄像头CEU数据1,经22至33欧
